batch,1xw6g728 - Epoch-avg,3ikscgpw - Epoch-avg,1twuzz0d - Epoch-avg,50vwwpjb - Epoch-avg,16a1i3ou - Epoch-avg,2s1kqq8c - Epoch-avg,1nroeh36 - Epoch-avg,ktrh2tkl - Epoch-avg,26r5cpnz - Epoch-avg,3d186l6u - Epoch-avg,27og179w - Epoch-avg,3ejpsk49 - Epoch-avg,xu3egzm4 - Epoch-avg,uyyj5cdd - Epoch-avg,3otyqg6q - Epoch-avg,u4cisnjv - Epoch-avg,3mcy4b9i - Epoch-avg,27oykizm - Epoch-avg,ooloz8zs - Epoch-avg,3b7oeaot - Epoch-avg,32c6fel3 - Epoch-avg,1342oi5w - Epoch-avg,othglsno - Epoch-avg,3silhylu - Epoch-avg
0,-1222.178209,-1232.265373,-1277.728197,-1526.29475,-1207.243042,-1092.840799,-1474.168659,-1302.734794,-1413.561565,-1345.042597,-1725.190153,-1195.094046,-1436.89047,-1172.047787,-1009.501255,-1068.635547,-1414.977462,-1478.169441,-1357.027876,-1299.596678,-1155.596581,-1256.71959,-1275.783972,-1453.119836
1,-1101.291097,-1385.228976,-1294.607988,-1602.596509,-1325.526109,-1090.888506,-1224.53479,-1374.797688,-1255.239362,-1336.794409,-1212.491025,-1390.862826,-1438.058456,-1328.937261,-1182.650313,-1345.196336,-1409.065886,-1227.151033,-1299.275993,-1195.678819,-1398.227244,-1150.944008,-1257.993642,-1249.798893
2,-1208.743914,-1474.154655,-1378.194945,-1362.097672,-1205.359913,-1388.889417,-1409.622162,-1464.787854,-1215.237975,-1479.47748,-1360.211511,-1346.637799,-1386.59225,-1273.625559,-1172.42323,-1459.303493,-1346.757518,-1125.179332,-1379.488701,-1419.632304,-1452.611886,-1296.682231,-1327.638848,-1246.649844
3,-1368.104371,-1425.227856,-1371.09955,-1517.148934,-1371.62342,-1350.635688,-1347.802573,-1419.665605,-1262.362682,-1191.247729,-1402.369324,-1296.555785,-1432.280926,-1237.043364,-1231.368981,-1361.684691,-1338.24326,-1200.818277,-1270.249258,-1330.119081,-1450.279813,-1475.354594,-1411.08325,-1388.247111
4,-1220.801342,-1345.469169,-1419.798048,-1414.911887,-1364.806585,-1192.153017,-1155.874638,-1445.959805,-1247.806655,-1365.166346,-1336.619559,-1280.634928,-1275.362368,-1369.503169,-1341.062438,-1242.904032,-1101.677619,-1193.319791,-1452.047567,-1374.853665,-1429.954529,-1433.134526,-1462.332572,-1324.349442
5,-1187.221308,-1396.998176,-1344.641425,-1383.270575,-1254.205939,-1305.778662,-1334.109644,-1314.162663,-1286.613055,-1257.96012,-1256.05008,-1210.850145,-1135.786745,-1393.334996,-1364.421826,-1273.999726,-1415.471643,-1408.508102,-1452.6862,-1286.211718,-1476.463855,-1461.514562,-1403.377285,-1346.115204
6,-1280.938892,-1351.902008,-1191.044466,-1236.320308,-1251.430901,-1185.785698,-1163.65727,-1222.606788,-1308.479045,-1256.364063,-1201.829044,-1248.996953,-1318.065431,-1407.580526,-1337.758833,-1403.584436,-1331.584609,-1313.87112,-1369.653569,-1094.859414,-1263.779235,-1388.174819,-1308.180702,-1295.420367
7,-1180.218055,-1294.945948,-1171.776695,-1212.776622,-1154.522554,-1302.350871,-1146.447043,-1187.27969,-1333.258124,-1407.469267,-1286.916079,-1214.851372,-1141.132209,-1364.371646,-1071.147875,-1377.528396,-1148.102249,-1346.196768,-1274.145033,-1229.758354,-1369.544885,-1279.806801,-1285.552182,-1253.550268
8,-1089.278781,-1318.816185,-1243.740223,-1467.297614,-1405.61895,-1095.623345,-1334.37297,-1338.588325,-1198.775435,-1208.490569,-1221.625073,-1354.763184,-1216.447426,-1277.995682,-1251.207702,-1106.993562,-1075.372728,-1240.348857,-1333.970838,-1288.369694,-1241.608465,-1219.049378,-1245.587233,-1166.049901
9,-1281.342977,-1206.724944,-1223.509668,-1426.375594,-1078.789982,-1123.886427,-1332.391142,-1105.886312,-1211.392707,-1355.33792,-1332.300136,-1239.487828,-1250.250602,-1318.138193,-1340.541261,-1097.692236,-1057.285715,-1237.749536,-1238.756901,-1271.877668,-1326.559134,-1052.637699,-1219.542222,-1083.588439
10,-1141.12143,-1204.171509,-1275.692381,-1354.882061,-1121.568798,-1256.790962,-1323.24051,-1347.592029,-1358.457747,-993.1103736,-1200.451222,-1193.218472,-1274.327198,-1259.798109,-1206.921623,-1227.899223,-1317.458766,-1265.393723,-1218.909921,-1276.348273,-1450.3589,-863.4079973,-1315.870558,-1146.514169
11,-1131.703113,-1232.408938,-1159.607599,-1302.642903,-1277.491565,-1001.966639,-1197.157822,-1297.948136,-1291.868818,-1220.969531,-1113.323876,-1138.724944,-1352.998106,-1299.001438,-908.7065191,-1142.374909,-1120.780383,-1187.643532,-1139.237995,-1155.823717,-1168.983966,-1196.013739,-1165.954167,-1128.36209
12,-1239.184807,-1175.546044,-1248.772179,-1255.88159,-894.6319046,-1253.436734,-1227.307222,-1342.558042,-990.2602331,-963.283233,-1192.32479,-1052.326925,-1014.487524,-1179.4528,-1242.555093,-1111.996373,-1111.68157,-1371.495192,-1161.374683,-1256.368846,-961.3151877,-1212.846246,-1237.941102,-1193.940729
13,-1208.590575,-1037.612255,-1255.926922,-1340.543735,-982.8793395,-1234.38489,-948.9268597,-1135.174908,-1276.837457,-982.7229499,-1172.989675,-1122.52036,-1080.754275,-1036.450814,-950.0711146,-1144.093903,-936.4876563,-1024.085265,-1188.708652,-1117.073055,-1288.161526,-1402.794997,-1144.662572,-1171.164963
14,-1171.079342,-1169.990564,-1155.046374,-1204.694184,-863.193471,-1069.607378,-1229.225808,-1239.744897,-1212.094102,-1000.636783,-1210.345658,-1005.931902,-1273.791984,-991.2548706,-1182.021315,-1104.716882,-870.945161,-1054.971924,-1125.35717,-839.2446684,-750.9918609,-1044.24129,-1079.617341,-1113.287937
15,-824.1208801,-980.4484983,-989.8879925,-1192.669956,-1012.891863,-1206.688781,-992.0678802,-1097.6493,-1215.82301,-1023.934207,-1181.901681,-1066.078054,-1166.593205,-1254.279888,-1068.261483,-994.6526939,-1195.242378,-1113.796837,-1167.079139,-1118.953849,-1018.873898,-1098.894303,-1357.94719,-1142.769915
16,-1066.413282,-1090.955439,-1032.459413,-1065.260581,-945.8161312,-939.3140611,-1009.79206,-933.2747327,-1072.871046,-1002.689196,-984.7415339,-1162.366884,-1054.537077,-868.2756887,-1132.9255,-936.86177,-899.1251602,-1062.857186,-1232.066706,-931.6703252,-825.2482744,-1038.349818,-1309.703425,-1161.120202
17,-904.1504177,-1272.609777,-870.3150981,-1190.845729,-724.5764383,-655.8477311,-1138.451419,-1084.432748,-1091.757358,-843.2582523,-1165.009573,-1045.639832,-992.7226193,-996.7479197,-1268.481816,-1016.787051,-783.5344911,-1177.52418,-1185.04122,-1070.693065,-956.3224153,-977.3114959,-1197.858504,-1062.904083
18,-1214.894411,-1160.384646,-1061.193753,-1067.623637,-919.600246,-840.755739,-850.6393554,-1040.405252,-882.7748859,-949.9473505,-1153.376222,-1049.322328,-1007.412763,-1164.869789,-1026.298533,-1119.869917,-951.722313,-1022.450855,-1048.898086,-859.4071407,-506.8096189,-648.3216059,-1093.531877,-1114.956603
19,-810.9594044,-999.2588758,-919.6080367,-1213.63624,-764.847302,-844.447446,-997.6472137,-798.4321497,-713.2489587,-735.2034584,-917.1914057,-963.9745723,-790.2827866,-830.3229532,-1050.426114,-716.793523,-965.0277442,-952.663551,-1017.770206,-934.9918511,-616.4519704,-712.5228253,-950.2092405,-800.397476
20,-961.223726,-814.8238879,-1045.681319,-1014.357354,-713.4002161,-710.8937118,-1118.366389,-952.0894143,-965.6397029,-723.2156687,-1065.826298,-732.5922981,-892.0450052,-936.6889077,-880.0822731,-733.0095914,-697.693993,-987.1809726,-1213.424047,-1114.213598,-859.8197512,-726.3095307,-1105.476726,-1037.425952
21,-879.622595,-987.0252938,-959.1243637,-1197.277023,-934.9457591,-1168.601587,-861.0666436,-1187.778408,-683.4884613,-1047.115174,-1188.291896,-854.4591447,-1121.298189,-986.8655695,-991.8046,-1170.13912,-836.1125352,-879.7352896,-1258.521626,-904.208272,-633.2574183,-765.7308318,-954.4098997,-849.745567
22,-865.5006672,-1174.95329,-782.3027056,-890.2727431,-988.1315032,-1070.09369,-801.6487881,-874.8693794,-665.2955479,-740.4096159,-860.4651322,-608.505512,-798.2656054,-1071.039189,-812.2117204,-926.8365791,-966.5148926,-908.7219687,-1132.749524,-1025.521756,-981.7919396,-750.6672345,-1122.217022,-1047.621695
23,-752.0086151,-907.0336275,-1018.496399,-914.375592,-762.1407996,-860.7317374,-946.3563006,-929.5856389,-877.1471972,-732.8191778,-845.8569672,-743.1622302,-816.8406946,-774.2878658,-974.5953788,-804.8885774,-770.2221897,-772.4524904,-1048.563527,-1115.893195,-685.7599738,-648.1965375,-1028.708689,-804.4087722
24,-887.2733809,-969.8631999,-1020.894656,-863.6837753,-926.14584,-472.1012076,-843.2970138,-786.60829,-751.6432752,-661.0149812,-831.8063987,-690.7817387,-950.3018098,-724.498413,-815.7257166,-977.1588044,-785.5766189,-767.8856134,-854.6310104,-807.2157814,-853.7747856,-573.6776919,-1015.208472,-824.0670759
25,-686.0489448,-950.044845,-1006.043652,-826.3282131,-939.3003247,-653.9892524,-762.167432,-709.7966461,-893.0908384,-689.0884375,-804.8632901,-509.2662816,-853.4731758,-703.5858498,-571.0597893,-1154.164132,-713.2810906,-946.8394188,-987.900743,-800.2758225,-566.1516278,-698.8163256,-1135.061485,-812.16277
26,-737.4903036,-694.6973703,-1000.677081,-911.9211306,-689.4058975,-702.4374492,-755.6092081,-987.5543126,-616.0519074,-647.3933466,-871.8382762,-395.2708233,-880.7938148,-962.8652535,-804.1098933,-956.1619979,-559.5788164,-722.490824,-849.7067653,-422.0940143,-714.154664,-647.79758,-1161.44471,-923.6922559
27,-357.8404146,-1159.401728,-717.6163095,-1011.908445,-725.45805,-612.2282689,-818.210599,-935.5505214,-737.6556847,-444.7239883,-710.9325052,-691.5756668,-890.8608619,-657.6221632,-516.8487721,-1092.788186,-864.7710636,-762.798744,-909.9359958,-953.2827381,-791.4522931,-724.7366307,-896.7545596,-1098.496887
28,-543.6988353,-533.3520411,-875.9654055,-1054.579421,-891.2792638,-759.7930975,-928.5868727,-665.8760881,-823.8890958,-521.9758755,-909.2711296,-425.70214,-798.7330353,-565.7428781,-627.9555592,-1214.657531,-705.3540133,-932.1363785,-778.3640555,-714.0770581,-811.8915946,-871.2897762,-917.1716544,-492.6571431
29,-432.7579538,-676.8331793,-623.6049593,-814.6816844,-605.8208165,-484.3181634,-673.2139015,-792.5996961,-644.1940423,-448.8817042,-799.6008505,-496.5600585,-738.6476739,-994.9511289,-570.4762882,-1266.625944,-1133.346341,-994.7809899,-837.8049745,-999.7025281,-967.6593004,-630.8924212,-962.7295741,-903.0131969
30,-618.8355739,-567.7047784,-707.0908467,-1042.485485,-701.898911,-483.2019877,-942.6222339,-530.9191766,-807.469681,-331.8380417,-711.0239193,-464.4296949,-661.057277,-812.2312929,-684.7259182,-1214.566558,-1045.102989,-844.1188036,-828.7617155,-930.6167827,-785.3842456,-736.7324116,-861.5352463,-1051.044153
31,-555.8177155,-475.0029333,-777.5486335,-821.8169921,-260.5115834,-693.533908,-906.4347012,-706.1843559,-789.8432113,-101.1051238,-797.6360899,-443.7890256,-662.3600094,-1042.481895,-1005.738263,-1202.670957,-522.1516405,-651.4525566,-811.3887152,-842.3819959,-581.0300345,-754.6620434,-891.2019572,-747.2096803
32,-620.2390893,-233.0235906,-743.7884054,-688.528883,-808.7528302,-934.8842864,-617.773654,-707.7731238,-753.9268571,-147.2553885,-832.9728318,-640.2284709,-613.8715466,-676.3707184,-724.0598602,-1237.981884,-560.8250818,-619.0703239,-825.3892915,-844.780426,-549.4419999,-544.9918131,-919.5670103,-437.0945905
33,-373.6654533,-680.6448422,-624.1805577,-815.7726019,-592.6281409,-851.5813155,-665.3072724,-538.4988098,-628.426346,-491.1969905,-570.8938168,-896.9725339,-804.1736044,-655.6222111,-443.1069437,-1068.137498,-374.2067517,-1101.940372,-590.5751502,-749.8218574,-1309.760523,-708.8220097,-832.8737847,-935.6022394
34,-466.3439355,-717.5152289,-737.5992735,-694.8644674,-421.9027392,-704.7555604,-675.2667841,-1033.141207,-766.4096806,-616.9041823,-667.4584167,-886.5881375,-744.2351406,-742.7577613,-697.3492997,-1168.3894,-476.646274,-527.5201167,-695.8841347,-536.156658,-1209.620519,-917.36292,-933.4755946,-879.4171993
35,-328.4242137,-494.623153,-550.8437353,-747.3769674,-789.2553172,-874.7888506,-923.8884926,-388.3770815,-673.541511,-713.3612876,-650.5297642,-950.3038117,-634.8739921,-692.5908855,-644.7757968,-1100.771946,-616.5055462,-658.0512863,-660.2423439,-1095.278156,-463.3368746,-783.8407256,-922.3912722,-781.1083757
36,-546.9833378,-561.5043523,-550.5639177,-981.8942338,-401.2865567,-702.4411943,-638.3137558,-512.2120699,-648.0373547,-163.0615745,-868.5549708,-828.1705937,-666.8975699,-641.3571745,-502.0143,-1069.867355,-227.0721009,-556.8908031,-869.6397265,-1027.475402,-1002.070066,-672.6764816,-948.4335866,-704.8513694
37,-494.5189442,-524.3617955,-723.4983785,-628.0942734,-390.2803842,-429.9020013,-720.6558838,-787.5562772,-510.2246487,-297.6767653,-655.0515661,-1070.894478,-739.9170217,-723.1259718,-779.3865852,-1255.920202,-690.8141952,-627.2394011,-693.0764976,-675.1063017,-759.2073683,-792.7493603,-762.1182318,-469.7180994
38,-606.7137985,-699.7073384,-651.7828546,-563.4394118,-497.1148043,-399.1553201,-596.7101481,-877.1111454,-512.5712865,-393.138668,-638.2679991,-870.5285681,-826.7527866,-706.1663831,-478.6451053,-1094.01974,-545.5952169,-704.8224631,-489.6101487,-880.4625161,-878.6335421,-428.3100409,-762.8306287,-381.4978315
39,-678.760938,-605.0651261,-573.4249071,-936.4851595,-1021.073573,-293.4699984,-1137.716023,-675.5626931,-718.5056677,-265.0899374,-838.5220316,-896.5403592,-574.7666528,-921.2340452,-220.4915221,-1100.412532,-556.3788076,-578.5555435,-491.0850524,-1208.977533,-392.0332506,-393.7856517,-825.3627923,-296.7304433
40,-101.4303564,-231.3090793,-362.6967181,-927.6731088,-815.9646477,-514.5733905,-985.9578732,-779.2387822,-607.5759465,-327.8213721,-821.1439213,-821.4874286,-731.9344716,-623.9614165,-511.0650055,-1058.40736,-905.6516412,-638.0581066,-960.1362359,-769.9553363,-752.6389325,-622.4605805,-762.4142946,-444.3549751
41,-646.6879127,-515.5971375,-805.5288832,-675.7014654,-164.7504182,-623.0614689,-468.6699572,-621.6564851,-512.874787,-514.1108277,-636.6903898,-689.0291352,-536.713366,-922.9705911,-534.1636067,-852.7520026,-843.4843461,-359.5336604,-931.7689066,-810.6740904,-583.5457574,-859.826135,-683.1276297,-490.8604498
42,-683.3420732,-541.964997,-353.9470487,-556.6843417,-896.5808553,-422.6544795,-452.1059796,-581.6069903,-600.9240183,-453.6186775,-664.8181467,-1027.33091,-693.5417933,-362.0087489,-661.1250117,-1120.368309,-697.8729816,-658.0827766,-935.9429768,-798.1445601,-484.7669804,-835.2927511,-760.9342074,-512.603351
43,-761.9526464,-774.5248301,-575.3034932,-611.8214911,-887.8310817,-455.0917528,-711.2072507,-552.8883223,-163.8754416,-624.2528682,-525.3093867,-573.9094375,-709.2622562,-722.7667926,-284.335706,-1311.300172,-427.2232261,-834.5584675,-545.400555,-892.1009155,-463.1069682,-724.7991936,-638.7749445,-454.8354391
44,-594.0337576,-594.626033,-518.668933,-521.3383317,-1212.125852,-663.4947471,-227.0750801,-453.9754603,-325.8564291,-758.1305611,-474.284657,-808.2123465,-740.613207,-449.4097319,-395.2195871,-849.6348077,-664.4293189,-356.9139649,-469.0868627,-851.3254149,-701.0504162,-773.3362407,-817.7799032,-1068.038369
45,-509.8348936,-648.7753932,-127.473599,-567.1088127,-683.2010412,-631.5642671,-599.1853284,-1190.328275,-321.2902985,-225.0633611,-443.5670692,-550.526016,-431.8174044,-815.0861978,-744.6095936,-896.2653505,-972.5057024,-865.0945309,-715.7489698,-570.1642727,-599.8605698,-547.7012852,-907.4945006,-722.7028129
46,-730.4572821,-811.0261448,-228.3037399,-492.851639,-782.8379456,-446.171101,-751.2515682,-455.2573314,-667.0461616,-290.9794861,-699.1540821,-762.0173434,-806.7648027,-543.5825547,-515.0620352,-937.0774622,-965.6134353,-514.57578,-503.0501018,-896.9901189,-484.7167389,-225.2101773,-819.9052997,-666.7304413
47,-484.0880393,-970.5089983,-541.8466214,-365.1315718,-1010.218475,-464.362735,-521.5710125,-655.6169411,-131.065656,-166.9784527,-669.5531603,-65.06634593,-552.9015793,-656.0849916,-443.9634366,-1213.601003,-762.3094228,-924.477123,-338.9742551,-883.4326822,-502.0107486,-197.4492813,-707.4456878,-817.3377837
48,-954.6313845,-626.1753701,-389.3415299,-354.6937263,-935.5815652,-514.5641031,-531.011436,-729.8212197,-538.9008369,-222.991637,-786.2706373,-668.8322408,-439.8269938,-621.9271931,-197.0758977,-1471.792583,-585.9927772,-549.7499206,-465.7624221,-722.3919535,-608.2209481,-624.4727533,-748.5045661,-637.5419483
49,-966.6802673,-824.2654016,-378.4054255,-493.4289009,-477.3693661,-405.0918563,-613.246868,-869.6000453,-678.6907141,-460.1535621,-653.1182068,-981.5904145,-236.7931055,-805.0418285,-162.2590127,-884.0940722,-651.035624,-758.0506606,-578.3337646,-942.799176,-532.7130282,-97.30319985,-505.4704013,-730.7893891
50,-369.9381549,-668.2755681,-601.8334857,-355.5390327,-816.9723454,-609.8956656,-453.4247885,-1075.121674,-679.4204517,-267.8682726,-755.2988291,-902.337145,-639.394687,-553.9372545,-153.0509725,-1079.254556,-558.9324235,-607.6935753,-861.4033912,-1102.618454,-562.6118635,-264.171985,-697.2951805,-1319.873406
51,-693.4552116,-837.8722058,-131.1292058,-789.4780964,-545.9769382,-318.6525564,-163.4637948,-665.2808271,-588.0023766,-385.2372217,-1081.626794,-783.3644973,-939.5610576,-402.2002854,-159.5146509,-1163.148458,-851.1245526,-618.9492176,-577.8996629,-1028.578418,-525.5892762,-164.2420383,-936.0569967,-1131.482669
52,-875.026369,-536.4043507,-389.2406387,-279.1159961,-265.2507523,-361.9231905,-257.0767593,-866.3053456,-624.8788575,-287.514519,-539.7568847,-951.8956164,-843.7968355,-911.5415773,-521.113127,-911.8531956,-528.6262191,-295.5217383,-544.261293,-946.5698482,-465.9402411,-752.6500626,-409.6393435,-1262.277879
53,-365.1192603,-673.8539507,-851.8426144,-691.6069269,-95.1169374,-714.6571912,-494.1087523,-656.0844989,-464.9549879,-237.0174147,-817.3977671,-805.5427319,-679.4695282,-885.5360054,-193.8658859,-872.2945371,-617.4962815,-835.6602404,-707.0167027,-764.0009861,-426.8868804,-392.6650805,-731.988322,-1243.277605
54,-625.7009741,-688.9503563,-332.4095888,-637.7432498,-1183.370353,-485.8220719,-665.5774223,-946.5959227,-604.8376504,-402.8707508,-590.4889837,-644.0530764,-505.8203601,-782.5337402,-317.018019,-858.3207264,-320.774,-1038.566477,-865.1148851,-656.9925145,-569.4034249,-256.2651464,-444.5958251,-1426.033119
55,-800.3565158,-614.4303247,-233.542394,-609.9770377,-1094.727271,-220.9604288,-856.8142811,-623.4053093,-776.0178126,-229.1344462,-357.3341181,-453.1476542,-671.939285,-263.69969,-192.2829339,-578.285622,-297.5114409,-840.6663499,-775.4013878,-798.8181143,-557.7590148,-395.1120837,-514.028016,-899.455131
56,-1219.333282,-866.2251652,-404.7832615,-688.8801872,-1338.596774,-365.6505808,-525.4772159,-717.504838,-1168.089598,-363.8739012,-1015.196466,-510.7999049,-784.369627,-720.8205837,-191.8417191,-1006.833627,-261.9785321,-755.5696513,-945.2201053,-858.1575637,-349.7467814,-522.9834913,-162.1665092,-1416.320624
57,-1086.255756,-730.9300526,-136.7205447,-485.2991229,-1024.219344,-664.9348951,-163.3570649,-656.3497415,-1125.240304,-129.2694667,-262.2849385,-559.2660669,-719.1110376,-555.8985711,-254.6283306,-872.4418085,-165.439935,-249.6784713,-776.5712294,-727.4318812,-594.3644444,-710.5139258,-194.1641068,-1205.436205
58,-455.7115511,-397.8515054,-335.9912844,-595.7236853,-1124.258652,-268.2980653,-267.0731375,-753.4497087,-1010.393605,-227.5845061,-257.0304313,-646.3191499,-532.6861692,-822.0223128,-329.825038,-809.9664825,-656.3250141,-709.1687786,-869.7238324,-475.4545959,-747.221083,-575.6568141,-378.8163735,-884.8476181
59,-130.0650816,-398.075495,-325.8457819,-396.2722081,-905.6605646,-424.6916968,-474.8349602,-904.8667202,-936.1629136,-263.0761154,-949.9672573,-819.777356,-549.3961797,-305.6619545,-391.0634345,-1090.129068,-237.3685856,-620.9454933,-933.9384352,-422.5664278,-620.917863,-231.2290652,-260.7575055,-897.3392112
60,-457.4522197,-218.262109,-195.3795131,-567.4235871,-954.4926273,-294.1672467,-548.4556995,-911.4800119,-648.6515444,-96.81694291,-345.2495355,-919.3933684,-793.2256736,-595.5547332,-305.6297132,-951.6637643,-209.5693855,-715.112612,-878.5028445,-699.3122634,-414.5570656,-303.4976467,-224.6804689,-1097.938887
61,-221.3372828,-328.2405504,-233.5763309,-241.8721671,-925.8512973,-558.2813927,-446.2286291,-886.1431465,-499.7053772,-491.4992454,-532.7734518,-884.5841706,-482.7454761,-800.1138257,-220.4556612,-1064.880249,-223.907477,-871.5887253,-855.5207098,-206.0569664,-295.9441545,-388.7931082,-520.5634145,-643.7631138
62,-497.379201,-967.0343574,-369.5578737,-260.5096123,-1008.222274,-629.9837949,-288.8084786,-953.5511765,-525.5062217,-296.3233468,-1003.811767,-566.5579624,-281.6887417,-787.3885317,-185.3730088,-880.9101713,-302.0180708,-795.5988584,-1123.673661,-707.588557,-291.1269143,-543.3073824,-157.1156941,-566.6492291
63,-326.6461064,-541.3248516,-168.3853727,-165.2609884,-548.9731202,-223.7690886,-245.8346328,-956.6329125,-717.7349962,-228.4080773,-497.366162,-324.9138052,-583.5312466,-708.481665,-408.0955095,-1027.271578,-831.7454196,-425.6547907,-1023.622931,-1057.258857,-236.1683849,-255.2631432,-442.0362977,-898.3103198
64,-416.8839844,-346.749523,-264.9129764,-269.143092,-1189.093797,-258.4072847,-457.2318025,-980.85122,-1094.811567,-99.83790396,-189.5571534,-357.2078189,-811.224922,-541.3019323,-184.9203106,-877.1209674,-194.5382412,-480.4738822,-1296.867524,-775.0924778,-843.4741835,-977.3742114,-255.8670186,-667.5086794
65,-420.5583254,-306.8782726,-228.889207,-134.3431678,-1108.865443,-385.2249611,-317.0127424,-1137.207013,-272.6790954,-315.2654994,-1284.144999,-429.3996286,-641.195117,-425.6600653,-233.4478086,-992.7902974,-268.9515212,-291.8868042,-1235.529391,-824.9030399,-619.6000508,-542.5811371,-317.9595019,-950.1138568
66,-465.4746773,-164.0300188,-234.3117525,-586.6358074,-1084.261716,-553.6373201,-259.3456978,-949.5365376,-397.2096633,-192.4031798,-363.4080548,-522.8895471,-441.5051299,-525.6489229,-180.6954031,-851.0757338,-442.4613585,-465.5487189,-1236.72666,-851.4461232,-794.6158532,-649.7316686,-447.5652731,-772.332348
67,-230.9097719,-378.4650781,-236.4493195,-393.4562727,-1120.161467,-234.1229009,-249.1002952,-745.4436952,-1103.70495,-235.6945364,-200.5797896,-628.7703459,-263.6833105,-512.4812876,-227.1834421,-933.2634376,-336.4177505,-261.5410711,-873.9432704,-1070.618329,-725.7712968,-494.2289155,-575.7300377,-745.201013
68,-194.3635221,-350.0739366,-135.4728789,-200.7629083,-1207.290328,-501.3541843,-670.550275,-678.9278107,-1027.432118,-198.6306377,-493.9509376,-523.1981717,-454.5848758,-512.6777527,-390.1792401,-808.0342641,-309.3745942,-651.1110497,-945.8720103,-901.320959,-462.0119606,-466.7140297,-213.3956582,-857.2544656
69,-286.3711618,-384.4014788,-162.2509869,-293.9840182,-1201.464837,-406.3631867,-245.9849801,-885.8328891,-462.4774819,-330.4619338,-425.5996243,-327.1255034,-455.6623071,-520.1455845,-458.4578634,-647.1663756,-458.2048492,-586.2577493,-865.5782579,-716.0756616,-414.0668701,-496.443396,-317.7404296,-1352.053021
70,-193.7321806,-598.8173971,-329.5524469,-402.8571246,-662.3093769,-490.8291338,-660.556069,-573.2475703,-879.8998702,-298.248868,-202.5771729,-463.461305,-421.1520037,-563.3697414,-885.9259025,-992.0630453,-362.1564072,-223.6441692,-699.7576587,-699.3723954,-899.1280471,-591.3634951,-217.1382744,-1485.413542
71,-230.1322986,-635.859458,-161.9345311,-498.0943498,-1026.687151,-192.7216943,-521.8764261,-1124.566199,-750.5149268,-332.2686428,-300.2901621,-320.7891002,-450.0104654,-477.5181158,-221.9307374,-971.9797405,-347.427107,-324.2113343,-822.4255723,-693.475323,-810.778861,-484.6119012,-132.1208262,-1192.768761
72,-165.3467501,-470.8414337,-96.47266687,-766.0207921,-1152.687238,-259.768723,-153.3096816,-1172.449211,-878.0316359,-370.1029697,-490.9635189,-378.1225077,-483.2289943,-530.8603658,-400.5876548,-1036.652385,-340.1259827,-351.1286561,-942.5072736,-763.026589,-1063.317728,-484.9813741,-418.7672482,-1199.198762
